creator_id,name,platform,niche,followers,avg_views,avg_likes,avg_comments,audience_age_18_24,audience_age_25_34,geography,estimated_price_inr,content_summary,previous_brand_categories
C026,Creator 026,Instagram,fitness,1704545,1136606,66517,3308,0.7,0.23,Bangalore,170454,"Shares workout routines, nutrition advice, meal prep ideas, and athletic conditioning tips.","[""edtech"", ""productivity tools""]"
C027,Creator 027,YouTube,technology,1019481,283668,13636,866,0.36,0.58,Bangalore,152922,"Reviews consumer electronics, smartphones, software tools, and emerging AI technologies.","[""e-commerce"", ""lifestyle accessories""]"
C028,Creator 028,YouTube,beauty,1541980,1152250,67871,17204,0.24,0.31,Pune,154198,"Features skincare product reviews, makeup tutorials, and cosmetic brand unboxing.","[""consumer electronics"", ""cloud storage""]"
C029,Creator 029,Instagram,travel,667676,123052,7492,1359,0.62,0.18,Pune,66767,"Documents budget travel itineraries, hotel reviews, and cultural destination guides.","[""banking apps"", ""mutual funds""]"
C030,Creator 030,Instagram,technology,152524,84670,3087,352,0.64,0.19,Hyderabad,22878,"Reviews consumer electronics, smartphones, software tools, and emerging AI technologies.","[""consumer electronics"", ""cloud storage""]"
C031,Creator 031,YouTube,finance,1234049,603617,25439,4040,0.52,0.24,Pune,246809,"Creates detailed tutorials on personal investment, mutual funds, taxation tips, and wealth management strategies.","[""edtech"", ""productivity tools""]"
C032,Creator 032,YouTube,beauty,1958292,1177165,29520,12064,0.7,0.25,Delhi,195829,"Features skincare product reviews, makeup tutorials, and cosmetic brand unboxing.","[""gambling"", ""fantasy sports""]"
C033,Creator 033,YouTube,travel,1967186,707017,17544,4522,0.31,0.36,Mumbai,196718,"Documents budget travel itineraries, hotel reviews, and cultural destination guides.","[""sportswear"", ""health supplements""]"
C034,Creator 034,Instagram,education,1723591,832083,70912,3215,0.63,0.19,Pune,172359,"Explains complex academic topics, exam preparation strategies, and career development advice.","[""consumer electronics"", ""cloud storage""]"
C035,Creator 035,YouTube,technology,1278420,353326,15546,5079,0.62,0.24,Delhi,191763,"Reviews consumer electronics, smartphones, software tools, and emerging AI technologies.","[""banking apps"", ""mutual funds""]"
C036,Creator 036,YouTube,finance,102456,15586,1153,209,0.29,0.53,Delhi,20491,"Creates detailed tutorials on personal investment, mutual funds, taxation tips, and wealth management strategies.","[""e-commerce"", ""lifestyle accessories""]"
C037,Creator 037,Instagram,travel,167797,120315,8226,563,0.17,0.35,India,16779,"Documents budget travel itineraries, hotel reviews, and cultural destination guides.","[""e-commerce"", ""lifestyle accessories""]"
C038,Creator 038,Instagram,technology,774729,534089,40445,9342,0.64,0.18,Delhi,116209,"Reviews consumer electronics, smartphones, software tools, and emerging AI technologies.","[""banking apps"", ""mutual funds""]"
C039,Creator 039,YouTube,gaming,1581768,383945,32670,6743,0.69,0.24,Hyderabad,158176,"Streams live gameplay, esports commentary, and gaming setup hardware reviews.","[""banking apps"", ""mutual funds""]"
C040,Creator 040,YouTube,technology,1692409,934115,66746,6040,0.24,0.54,Bangalore,253861,"Reviews consumer electronics, smartphones, software tools, and emerging AI technologies.","[""banking apps"", ""mutual funds""]"
C041,Creator 041,Instagram,food,1722506,1207599,53709,20251,0.63,0.19,Mumbai,172250,"Shares quick home recipes, restaurant reviews, and street food exploration videos.","[""e-commerce"", ""lifestyle accessories""]"
C042,Creator 042,YouTube,gaming,1631783,518050,33623,4763,0.69,0.21,India,163178,"Streams live gameplay, esports commentary, and gaming setup hardware reviews.","[""banking apps"", ""mutual funds""]"
C043,Creator 043,Instagram,beauty,566723,98017,6053,805,0.58,0.25,Hyderabad,56672,"Features skincare product reviews, makeup tutorials, and cosmetic brand unboxing.","[""banking apps"", ""mutual funds""]"
C044,Creator 044,Instagram,fashion,103085,59301,1193,1106,0.45,0.4,Delhi,10308,"Showcases daily outfit inspiration, seasonal wardrobe hauls, and sustainable fashion tips.","[""edtech"", ""productivity tools""]"
C045,Creator 045,YouTube,gaming,1999934,1097049,47298,8392,0.62,0.28,India,199993,"Streams live gameplay, esports commentary, and gaming setup hardware reviews.","[""sportswear"", ""health supplements""]"
C046,Creator 046,YouTube,fashion,1472152,481972,13933,4611,0.67,0.24,Bangalore,147215,"Showcases daily outfit inspiration, seasonal wardrobe hauls, and sustainable fashion tips.","[""consumer electronics"", ""cloud storage""]"
C047,Creator 047,YouTube,education,1159107,753692,31105,4358,0.58,0.28,Bangalore,115910,"Explains complex academic topics, exam preparation strategies, and career development advice.","[""e-commerce"", ""lifestyle accessories""]"
C048,Creator 048,Instagram,food,1002343,627708,54728,9570,0.51,0.23,Hyderabad,100234,"Shares quick home recipes, restaurant reviews, and street food exploration videos.","[""consumer electronics"", ""cloud storage""]"
C049,Creator 049,Instagram,gaming,1420954,477798,36532,2222,0.18,0.69,Mumbai,142095,"Streams live gameplay, esports commentary, and gaming setup hardware reviews.","[""banking apps"", ""mutual funds""]"
C050,Creator 050,YouTube,food,1217269,324598,22314,3537,0.28,0.49,Pune,121726,"Shares quick home recipes, restaurant reviews, and street food exploration videos.","[""crypto trading"", ""offshore betting""]"
C051,Creator 051,Instagram,fashion,1696340,1229472,69166,3570,0.29,0.58,Mumbai,169634,"Showcases daily outfit inspiration, seasonal wardrobe hauls, and sustainable fashion tips.","[""e-commerce"", ""lifestyle accessories""]"
C052,Creator 052,YouTube,travel,1294825,827398,68211,8010,0.65,0.22,Bangalore,129482,"Documents budget travel itineraries, hotel reviews, and cultural destination guides.","[""e-commerce"", ""lifestyle accessories""]"
C053,Creator 053,YouTube,food,1771320,943399,69440,10739,0.49,0.24,Mumbai,177132,"Shares quick home recipes, restaurant reviews, and street food exploration videos.","[""unregulated loans"", ""binary options""]"
C054,Creator 054,YouTube,fitness,680479,466683,11965,2200,0.36,0.22,Delhi,68047,"Shares workout routines, nutrition advice, meal prep ideas, and athletic conditioning tips.","[""e-commerce"", ""lifestyle accessories""]"
C055,Creator 055,YouTube,fashion,987114,394317,13595,3770,0.65,0.24,Hyderabad,98711,"Showcases daily outfit inspiration, seasonal wardrobe hauls, and sustainable fashion tips.","[""consumer electronics"", ""cloud storage""]"
C056,Creator 056,YouTube,fashion,1987072,717442,52189,12456,0.67,0.2,India,198707,"Showcases daily outfit inspiration, seasonal wardrobe hauls, and sustainable fashion tips.","[""consumer electronics"", ""cloud storage""]"
C057,Creator 057,Instagram,education,470160,147517,7965,1327,0.52,0.37,Bangalore,47016,"Explains complex academic topics, exam preparation strategies, and career development advice.","[""e-commerce"", ""lifestyle accessories""]"
C058,Creator 058,Instagram,technology,1251289,611423,13388,8296,0.22,0.4,Bangalore,187693,"Reviews consumer electronics, smartphones, software tools, and emerging AI technologies.","[""crypto tokens"", ""payday loans""]"
C059,Creator 059,Instagram,gaming,695445,245144,19997,1718,0.67,0.2,Bangalore,69544,"Streams live gameplay, esports commentary, and gaming setup hardware reviews.","[""e-commerce"", ""lifestyle accessories""]"
C060,Creator 060,Instagram,fintech,480227,259364,19370,3561,0.56,0.38,Delhi,96045,"Produces short-form videos explaining digital payment apps, personal budgeting tools, and stock trading platforms.","[""banking apps"", ""mutual funds""]"
C061,Creator 061,Instagram,education,274704,119259,3340,2273,0.41,0.25,Mumbai,27470,"Explains complex academic topics, exam preparation strategies, and career development advice.","[""consumer electronics"", ""cloud storage""]"
C062,Creator 062,Instagram,education,662295,142300,3101,1083,0.52,0.42,Mumbai,66229,"Explains complex academic topics, exam preparation strategies, and career development advice.","[""edtech"", ""productivity tools""]"
C063,Creator 063,Instagram,finance,1472119,903128,71817,11566,0.22,0.69,India,294423,"Creates detailed tutorials on personal investment, mutual funds, taxation tips, and wealth management strategies.","[""sportswear"", ""health supplements""]"
C064,Creator 064,YouTube,travel,787143,150638,9840,335,0.38,0.36,Pune,78714,"Documents budget travel itineraries, hotel reviews, and cultural destination guides.","[""sportswear"", ""health supplements""]"
C065,Creator 065,Instagram,food,379385,223942,19613,1536,0.59,0.26,Bangalore,37938,"Shares quick home recipes, restaurant reviews, and street food exploration videos.","[""e-commerce"", ""lifestyle accessories""]"
C066,Creator 066,YouTube,education,1796171,533996,45615,3749,0.4,0.45,Delhi,179617,"Explains complex academic topics, exam preparation strategies, and career development advice.","[""e-commerce"", ""lifestyle accessories""]"
C067,Creator 067,Instagram,gaming,1794577,619144,33513,5192,0.29,0.29,Bangalore,179457,"Streams live gameplay, esports commentary, and gaming setup hardware reviews.","[""sportswear"", ""health supplements""]"
C068,Creator 068,Instagram,travel,1998231,528799,19509,4926,0.46,0.23,Hyderabad,199823,"Documents budget travel itineraries, hotel reviews, and cultural destination guides.","[""e-commerce"", ""lifestyle accessories""]"
C069,Creator 069,Instagram,food,627056,177430,12140,1332,0.47,0.31,India,62705,"Shares quick home recipes, restaurant reviews, and street food exploration videos.","[""e-commerce"", ""lifestyle accessories""]"
C070,Creator 070,YouTube,travel,1483993,626611,25981,3853,0.55,0.23,Delhi,148399,"Documents budget travel itineraries, hotel reviews, and cultural destination guides.","[""edtech"", ""productivity tools""]"
C071,Creator 071,Instagram,fitness,1025438,323935,19847,5080,0.48,0.46,Pune,102543,"Shares workout routines, nutrition advice, meal prep ideas, and athletic conditioning tips.","[""sportswear"", ""health supplements""]"
C072,Creator 072,YouTube,fitness,643901,102051,5856,707,0.69,0.21,Mumbai,64390,"Shares workout routines, nutrition advice, meal prep ideas, and athletic conditioning tips.","[""edtech"", ""productivity tools""]"
C073,Creator 073,Instagram,food,1213899,389180,20825,3165,0.68,0.18,India,121389,"Shares quick home recipes, restaurant reviews, and street food exploration videos.","[""banking apps"", ""mutual funds""]"
C074,Creator 074,YouTube,finance,165361,82054,5583,388,0.6,0.34,Bangalore,33072,"Creates detailed tutorials on personal investment, mutual funds, taxation tips, and wealth management strategies.","[""gambling"", ""fantasy sports""]"
C075,Creator 075,YouTube,finance,1260168,786904,28169,8975,0.4,0.33,Hyderabad,252033,"Creates detailed tutorials on personal investment, mutual funds, taxation tips, and wealth management strategies.","[""e-commerce"", ""lifestyle accessories""]"
C076,Creator 076,Instagram,beauty,1562079,327318,24022,4339,0.3,0.19,Hyderabad,156207,"Features skincare product reviews, makeup tutorials, and cosmetic brand unboxing.","[""consumer electronics"", ""cloud storage""]"
C077,Creator 077,Instagram,finance,866723,364285,22427,2638,0.28,0.52,India,173344,"Creates detailed tutorials on personal investment, mutual funds, taxation tips, and wealth management strategies.","[""e-commerce"", ""lifestyle accessories""]"
C078,Creator 078,Instagram,finance,1662195,1038454,63641,17103,0.26,0.21,Delhi,332439,"Creates detailed tutorials on personal investment, mutual funds, taxation tips, and wealth management strategies.","[""edtech"", ""productivity tools""]"
C079,Creator 079,Instagram,beauty,135070,33707,1399,521,0.46,0.25,India,13507,"Features skincare product reviews, makeup tutorials, and cosmetic brand unboxing.","[""unregulated loans"", ""binary options""]"
C080,Creator 080,YouTube,fashion,1142423,509837,13067,1385,0.39,0.28,Hyderabad,114242,"Showcases daily outfit inspiration, seasonal wardrobe hauls, and sustainable fashion tips.","[""banking apps"", ""mutual funds""]"
C081,Creator 081,Instagram,fitness,1732645,540076,12322,8432,0.41,0.4,Pune,173264,"Shares workout routines, nutrition advice, meal prep ideas, and athletic conditioning tips.","[""edtech"", ""productivity tools""]"
C082,Creator 082,YouTube,education,1717595,764390,20169,6316,0.33,0.46,Pune,171759,"Explains complex academic topics, exam preparation strategies, and career development advice.","[""sportswear"", ""health supplements""]"
C083,Creator 083,YouTube,fashion,1399538,1003631,77229,11944,0.4,0.28,Delhi,139953,"Showcases daily outfit inspiration, seasonal wardrobe hauls, and sustainable fashion tips.","[""e-commerce"", ""lifestyle accessories""]"
C084,Creator 084,Instagram,travel,1833195,871787,42654,4687,0.35,0.49,Pune,183319,"Documents budget travel itineraries, hotel reviews, and cultural destination guides.","[""banking apps"", ""mutual funds""]"
C085,Creator 085,YouTube,fitness,284754,201208,10194,2931,0.22,0.69,Hyderabad,28475,"Shares workout routines, nutrition advice, meal prep ideas, and athletic conditioning tips.","[""edtech"", ""productivity tools""]"
C086,Creator 086,YouTube,technology,38677,18617,493,369,0.65,0.22,Hyderabad,5801,"Reviews consumer electronics, smartphones, software tools, and emerging AI technologies.","[""gambling"", ""fantasy sports""]"
C087,Creator 087,YouTube,food,1489355,467739,36685,9188,0.28,0.44,Hyderabad,148935,"Shares quick home recipes, restaurant reviews, and street food exploration videos.","[""consumer electronics"", ""cloud storage""]"
C088,Creator 088,Instagram,travel,589332,361617,28860,2935,0.58,0.21,India,58933,"Documents budget travel itineraries, hotel reviews, and cultural destination guides.","[""unregulated loans"", ""binary options""]"
C089,Creator 089,YouTube,education,946477,447824,19775,5344,0.45,0.31,Mumbai,94647,"Explains complex academic topics, exam preparation strategies, and career development advice.","[""edtech"", ""productivity tools""]"
C090,Creator 090,YouTube,fitness,1805189,1110780,25609,17111,0.54,0.36,Mumbai,180518,"Shares workout routines, nutrition advice, meal prep ideas, and athletic conditioning tips.","[""edtech"", ""productivity tools""]"
C091,Creator 091,Instagram,food,1063380,775429,33529,2951,0.61,0.17,Mumbai,106338,"Shares quick home recipes, restaurant reviews, and street food exploration videos.","[""banking apps"", ""mutual funds""]"
C092,Creator 092,YouTube,technology,333718,65040,4858,440,0.49,0.27,Pune,50057,"Reviews consumer electronics, smartphones, software tools, and emerging AI technologies.","[""unregulated loans"", ""binary options""]"
C093,Creator 093,YouTube,travel,1324493,769835,56319,13628,0.17,0.19,Delhi,132449,"Documents budget travel itineraries, hotel reviews, and cultural destination guides.","[""sportswear"", ""health supplements""]"
C094,Creator 094,Instagram,fitness,216450,131216,9089,499,0.24,0.31,Bangalore,21645,"Shares workout routines, nutrition advice, meal prep ideas, and athletic conditioning tips.","[""unregulated loans"", ""binary options""]"
C095,Creator 095,YouTube,fintech,796098,325136,12060,3061,0.52,0.2,Delhi,159219,"Produces short-form videos explaining digital payment apps, personal budgeting tools, and stock trading platforms.","[""consumer electronics"", ""cloud storage""]"
C096,Creator 096,Instagram,fashion,1924341,961967,34874,12969,0.4,0.42,Bangalore,192434,"Showcases daily outfit inspiration, seasonal wardrobe hauls, and sustainable fashion tips.","[""e-commerce"", ""lifestyle accessories""]"
C097,Creator 097,Instagram,beauty,936374,671512,59855,4958,0.68,0.23,India,93637,"Features skincare product reviews, makeup tutorials, and cosmetic brand unboxing.","[""sportswear"", ""health supplements""]"
C098,Creator 098,YouTube,fitness,233668,68306,4100,843,0.7,0.18,Bangalore,23366,"Shares workout routines, nutrition advice, meal prep ideas, and athletic conditioning tips.","[""e-commerce"", ""lifestyle accessories""]"
C099,Creator 099,Instagram,beauty,1824177,1024238,73875,2952,0.48,0.31,Hyderabad,182417,"Features skincare product reviews, makeup tutorials, and cosmetic brand unboxing.","[""sportswear"", ""health supplements""]"
C100,Creator 100,YouTube,fitness,1345084,355208,13335,5541,0.57,0.31,Mumbai,134508,"Shares workout routines, nutrition advice, meal prep ideas, and athletic conditioning tips.","[""crypto trading"", ""offshore betting""]"
C101,Creator 101,YouTube,fintech,79970,39804,2836,144,0.31,0.52,Bangalore,15994,"Produces short-form videos explaining digital payment apps, personal budgeting tools, and stock trading platforms.","[""edtech"", ""productivity tools""]"
C102,Creator 102,YouTube,travel,1062339,741610,57944,4913,0.6,0.25,Hyderabad,106233,"Documents budget travel itineraries, hotel reviews, and cultural destination guides.","[""sportswear"", ""health supplements""]"
C103,Creator 103,YouTube,finance,305188,183872,6581,2606,0.52,0.26,India,61037,"Creates detailed tutorials on personal investment, mutual funds, taxation tips, and wealth management strategies.","[""consumer electronics"", ""cloud storage""]"
C104,Creator 104,Instagram,gaming,39189,12096,346,104,0.56,0.21,Bangalore,3918,"Streams live gameplay, esports commentary, and gaming setup hardware reviews.","[""sportswear"", ""health supplements""]"
C105,Creator 105,Instagram,finance,62480,32597,2804,257,0.49,0.35,Bangalore,12496,"Creates detailed tutorials on personal investment, mutual funds, taxation tips, and wealth management strategies.","[""e-commerce"", ""lifestyle accessories""]"
C106,Creator 106,YouTube,beauty,303133,53717,1214,1070,0.21,0.28,India,30313,"Features skincare product reviews, makeup tutorials, and cosmetic brand unboxing.","[""e-commerce"", ""lifestyle accessories""]"
C107,Creator 107,YouTube,food,1568477,890723,51495,11198,0.55,0.37,Pune,156847,"Shares quick home recipes, restaurant reviews, and street food exploration videos.","[""e-commerce"", ""lifestyle accessories""]"
C108,Creator 108,YouTube,education,78611,44349,1561,443,0.28,0.34,Delhi,7861,"Explains complex academic topics, exam preparation strategies, and career development advice.","[""sportswear"", ""health supplements""]"
C109,Creator 109,YouTube,travel,844959,266608,23401,5087,0.6,0.17,India,84495,"Documents budget travel itineraries, hotel reviews, and cultural destination guides.","[""consumer electronics"", ""cloud storage""]"
C110,Creator 110,Instagram,fintech,520800,387106,29067,2204,0.61,0.26,Delhi,104159,"Produces short-form videos explaining digital payment apps, personal budgeting tools, and stock trading platforms.","[""edtech"", ""productivity tools""]"
C111,Creator 111,Instagram,gaming,15946,5044,448,99,0.45,0.43,Hyderabad,1594,"Streams live gameplay, esports commentary, and gaming setup hardware reviews.","[""crypto trading"", ""offshore betting""]"
C112,Creator 112,Instagram,technology,1666717,1038462,63574,2371,0.3,0.21,Delhi,250007,"Reviews consumer electronics, smartphones, software tools, and emerging AI technologies.","[""banking apps"", ""mutual funds""]"
C113,Creator 113,YouTube,finance,1641619,602840,37108,6110,0.27,0.48,Bangalore,328323,"Creates detailed tutorials on personal investment, mutual funds, taxation tips, and wealth management strategies.","[""consumer electronics"", ""cloud storage""]"
C114,Creator 114,YouTube,beauty,75327,14048,751,129,0.53,0.28,Pune,7532,"Features skincare product reviews, makeup tutorials, and cosmetic brand unboxing.","[""banking apps"", ""mutual funds""]"
C115,Creator 115,YouTube,finance,321078,60815,2387,814,0.45,0.26,Hyderabad,64215,"Creates detailed tutorials on personal investment, mutual funds, taxation tips, and wealth management strategies.","[""consumer electronics"", ""cloud storage""]"
C116,Creator 116,YouTube,beauty,1279672,522259,39439,2120,0.51,0.4,Hyderabad,127967,"Features skincare product reviews, makeup tutorials, and cosmetic brand unboxing.","[""edtech"", ""productivity tools""]"
C117,Creator 117,YouTube,fashion,877829,310188,16050,2943,0.2,0.38,Mumbai,87782,"Showcases daily outfit inspiration, seasonal wardrobe hauls, and sustainable fashion tips.","[""sportswear"", ""health supplements""]"
C118,Creator 118,YouTube,technology,201312,130664,3466,488,0.56,0.34,India,30196,"Reviews consumer electronics, smartphones, software tools, and emerging AI technologies.","[""consumer electronics"", ""cloud storage""]"
C119,Creator 119,YouTube,travel,266337,105598,8569,2000,0.38,0.53,Pune,26633,"Documents budget travel itineraries, hotel reviews, and cultural destination guides.","[""unregulated loans"", ""binary options""]"
C120,Creator 120,YouTube,education,227266,112894,3939,1560,0.27,0.21,Delhi,22726,"Explains complex academic topics, exam preparation strategies, and career development advice.","[""sportswear"", ""health supplements""]"
C121,Creator 121,YouTube,finance,484289,307200,24318,6003,0.6,0.27,Hyderabad,96857,"Creates detailed tutorials on personal investment, mutual funds, taxation tips, and wealth management strategies.","[""banking apps"", ""mutual funds""]"
C122,Creator 122,YouTube,education,388359,121930,8945,2266,0.34,0.23,India,38835,"Explains complex academic topics, exam preparation strategies, and career development advice.","[""crypto tokens"", ""payday loans""]"
C123,Creator 123,Instagram,finance,1337857,980764,25914,11326,0.36,0.35,Pune,267571,"Creates detailed tutorials on personal investment, mutual funds, taxation tips, and wealth management strategies.","[""sportswear"", ""health supplements""]"
C124,Creator 124,Instagram,gaming,336274,82200,5199,1161,0.3,0.48,India,33627,"Streams live gameplay, esports commentary, and gaming setup hardware reviews.","[""e-commerce"", ""lifestyle accessories""]"
C125,Creator 125,YouTube,fashion,1593230,728755,32183,2912,0.52,0.32,Mumbai,159323,"Showcases daily outfit inspiration, seasonal wardrobe hauls, and sustainable fashion tips.","[""sportswear"", ""health supplements""]"
C126,Creator 126,Instagram,fintech,1266875,231672,7948,4405,0.57,0.33,Bangalore,253375,"Produces short-form videos explaining digital payment apps, personal budgeting tools, and stock trading platforms.","[""banking apps"", ""mutual funds""]"
C127,Creator 127,YouTube,fintech,913149,233233,10872,3420,0.43,0.46,Pune,182629,"Produces short-form videos explaining digital payment apps, personal budgeting tools, and stock trading platforms.","[""banking apps"", ""mutual funds""]"
C128,Creator 128,Instagram,fashion,49303,20995,534,160,0.39,0.32,Bangalore,4930,"Showcases daily outfit inspiration, seasonal wardrobe hauls, and sustainable fashion tips.","[""sportswear"", ""health supplements""]"
C129,Creator 129,YouTube,finance,691088,174930,15102,1798,0.53,0.25,India,138217,"Creates detailed tutorials on personal investment, mutual funds, taxation tips, and wealth management strategies.","[""banking apps"", ""mutual funds""]"
C130,Creator 130,YouTube,fitness,849804,394629,18825,2993,0.34,0.3,Hyderabad,84980,"Shares workout routines, nutrition advice, meal prep ideas, and athletic conditioning tips.","[""consumer electronics"", ""cloud storage""]"
C131,Creator 131,Instagram,finance,746309,437656,33842,7296,0.28,0.23,Delhi,149261,"Creates detailed tutorials on personal investment, mutual funds, taxation tips, and wealth management strategies.","[""consumer electronics"", ""cloud storage""]"
C132,Creator 132,Instagram,technology,1630779,859044,45079,10435,0.47,0.37,Mumbai,244616,"Reviews consumer electronics, smartphones, software tools, and emerging AI technologies.","[""consumer electronics"", ""cloud storage""]"
C133,Creator 133,YouTube,gaming,932249,178033,9071,1326,0.3,0.18,Mumbai,93224,"Streams live gameplay, esports commentary, and gaming setup hardware reviews.","[""sportswear"", ""health supplements""]"
C134,Creator 134,YouTube,food,129307,48004,1924,653,0.69,0.16,India,12930,"Shares quick home recipes, restaurant reviews, and street food exploration videos.","[""e-commerce"", ""lifestyle accessories""]"
C135,Creator 135,Instagram,food,1916415,1218628,79976,9490,0.41,0.21,Bangalore,191641,"Shares quick home recipes, restaurant reviews, and street food exploration videos.","[""crypto trading"", ""offshore betting""]"
C136,Creator 136,Instagram,gaming,1365026,346082,12923,3419,0.39,0.36,Hyderabad,136502,"Streams live gameplay, esports commentary, and gaming setup hardware reviews.","[""sportswear"", ""health supplements""]"
C137,Creator 137,YouTube,beauty,1634170,576895,35682,9349,0.51,0.17,Bangalore,163417,"Features skincare product reviews, makeup tutorials, and cosmetic brand unboxing.","[""crypto tokens"", ""payday loans""]"
C138,Creator 138,YouTube,beauty,1795863,976838,81511,17308,0.33,0.42,Pune,179586,"Features skincare product reviews, makeup tutorials, and cosmetic brand unboxing.","[""unregulated loans"", ""binary options""]"
C139,Creator 139,YouTube,beauty,1257891,723665,18764,8727,0.5,0.25,Mumbai,125789,"Features skincare product reviews, makeup tutorials, and cosmetic brand unboxing.","[""crypto trading"", ""offshore betting""]"
